seed,dim,recon_rmse_hfval,y_rmse_test,nll_test_raw,coverage_test_raw,width_test_raw,historical_project_relative_report_path
111,24,1.1575433745747432e-05,0.020254381000995636,-2.477272391204956,0.9603999853134155,0.09017664939165115,result_out/fpca_dim_sweep_tm_outputs/seed_111/fpca_dim_024/fpca_dim024_seed111/report.json
222,24,1.1575433745747432e-05,0.01856948621571064,-2.5284779058592872,0.9629999995231628,0.08790389448404312,result_out/fpca_dim_sweep_tm_outputs/seed_222/fpca_dim_024/fpca_dim024_seed222/report.json
333,24,1.1575433745747432e-05,0.017164384946227074,-2.5945982518488275,0.98580002784729,0.08807805180549622,result_out/fpca_dim_sweep_tm_outputs/seed_333/fpca_dim_024/fpca_dim024_seed333/report.json
555,24,1.1575433745747432e-05,0.021270275115966797,-2.429941397065082,0.9635999798774719,0.09213746339082718,result_out/fpca_dim_sweep_tm_outputs/seed_555/fpca_dim_024/fpca_dim024_seed555/report.json
42,32,1.1301155609544367e-05,0.02067345753312111,-2.427627384781616,0.9639999866485596,0.09340262413024902,result_out/fpca_dim_sweep_tm_outputs/seed_042/fpca_dim_032/fpca_dim032_seed42/report.json
55,32,1.1301155609544367e-05,0.018660059198737144,-2.507262276876714,0.9765999913215637,0.09335656464099884,result_out/fpca_dim_sweep_tm_outputs/seed_055/fpca_dim_032/fpca_dim032_seed55/report.json
66,32,1.1301155609544367e-05,0.01823827438056469,-2.5181144468522327,0.964900016784668,0.0928255096077919,result_out/fpca_dim_sweep_tm_outputs/seed_066/fpca_dim_032/fpca_dim032_seed66/report.json
77,32,1.1301155609544367e-05,0.02074102871119976,-2.4128907681891456,0.9696000218391418,0.09858688712120056,result_out/fpca_dim_sweep_tm_outputs/seed_077/fpca_dim_032/fpca_dim032_seed77/report.json
88,32,1.1301155609544367e-05,0.020064087584614754,-2.464390034287602,0.9782000184059143,0.09331757575273514,result_out/fpca_dim_sweep_tm_outputs/seed_088/fpca_dim_032/fpca_dim032_seed88/report.json
99,32,1.1301155609544367e-05,0.02163928560912609,-2.4026318681258285,0.9660999774932861,0.09735216945409775,result_out/fpca_dim_sweep_tm_outputs/seed_099/fpca_dim_032/fpca_dim032_seed99/report.json
111,32,1.1301155609544367e-05,0.020571820437908173,-2.4566880644590423,0.9814000129699707,0.09331277757883072,result_out/fpca_dim_sweep_tm_outputs/seed_111/fpca_dim_032/fpca_dim032_seed111/report.json
222,32,1.1301155609544367e-05,0.018372921273112297,-2.5153353741792848,0.9659000039100647,0.09197338670492172,result_out/fpca_dim_sweep_tm_outputs/seed_222/fpca_dim_032/fpca_dim032_seed222/report.json
333,32,1.1301155609544367e-05,0.017413610592484474,-2.56072773531452,0.9848999977111816,0.09281142055988312,result_out/fpca_dim_sweep_tm_outputs/seed_333/fpca_dim_032/fpca_dim032_seed333/report.json
555,32,1.1301155609544367e-05,0.022145554423332214,-2.39426121968419,0.9663000106811523,0.09624148160219193,result_out/fpca_dim_sweep_tm_outputs/seed_555/fpca_dim_032/fpca_dim032_seed555/report.json
