dataset,setting,seed,comparator,ours_rmse,comparator_rmse,paired_difference,relative_difference_pct
TM,hf100_lfx10,399,HF-only,0.021958893164992332,0.04398149624466896,0.022022603079676628,100.29013263193914
TM,hf100_lfx10,399,AR1/co-kriging,0.021958893164992332,0.027265770360827446,0.0053068771958351135,24.167325538499956
TM,hf100_lfx10,399,FPCA-NARGP,0.021958893164992332,0.029141275212168694,0.007182382047176361,32.70830634864045
TM,hf100_lfx10,399,MF-DeepONet,0.021958893164992332,0.0297317123192485,0.007772819154256167,35.39713543780922
TM,hf100_lfx10,200,HF-only,0.018877996131777763,0.04397355020046234,0.025095554068684578,132.93547627356836
TM,hf100_lfx10,200,AR1/co-kriging,0.018877996131777763,0.02763323299586773,0.008755236864089966,46.37799903641295
TM,hf100_lfx10,200,FPCA-NARGP,0.018877996131777763,0.029083946719765663,0.0102059505879879,54.06267972906292
TM,hf100_lfx10,200,MF-DeepONet,0.018877996131777763,0.026626194567040563,0.007748198435262799,41.04354286957438
TM,hf100_lfx10,366,HF-only,0.02078111283481121,0.0438300259411335,0.02304891310632229,110.91279514017268
TM,hf100_lfx10,366,AR1/co-kriging,0.02078111283481121,0.02753450721502304,0.00675339438021183,32.497751366322255
TM,hf100_lfx10,366,FPCA-NARGP,0.02078111283481121,0.029115084558725357,0.008333971723914146,40.10358728216711
TM,hf100_lfx10,366,MF-DeepONet,0.02078111283481121,0.027709584408659685,0.006928471573848474,33.34023364832674
TM,hf100_lfx10,250,HF-only,0.01838245615363121,0.043898142874240875,0.025515686720609665,138.8045564061872
TM,hf100_lfx10,250,AR1/co-kriging,0.01838245615363121,0.02746361494064331,0.0090811587870121,49.40122642543737
TM,hf100_lfx10,250,FPCA-NARGP,0.01838245615363121,0.028925491496920586,0.010543035343289375,57.353790239868125
TM,hf100_lfx10,250,MF-DeepONet,0.01838245615363121,0.02840733083163155,0.01002487467800034,54.53501204745188
TM,hf100_lfx10,260,HF-only,0.018299343064427376,0.043845437467098236,0.02554609440267086,139.60115569575092
TM,hf100_lfx10,260,AR1/co-kriging,0.018299343064427376,0.027550900354981422,0.009251557290554047,50.55677276491098
TM,hf100_lfx10,260,FPCA-NARGP,0.018299343064427376,0.028708359226584435,0.010409016162157059,56.88191169218226
TM,hf100_lfx10,260,MF-DeepONet,0.018299343064427376,0.027613082443315704,0.009313739378888328,50.89657779570009
TM,hf100_lfx10,290,HF-only,0.021688133478164673,0.04400680586695671,0.022318672388792038,102.90729910557856
TM,hf100_lfx10,290,AR1/co-kriging,0.021688133478164673,0.027514006942510605,0.005825873464345932,26.862032503679234
TM,hf100_lfx10,290,FPCA-NARGP,0.021688133478164673,0.028712190687656403,0.00702405720949173,32.38663768167721
TM,hf100_lfx10,290,MF-DeepONet,0.021688133478164673,0.02932444341172657,0.007636309933561899,35.20962253967145
TM,hf100_lfx10,377,HF-only,0.017531516030430794,0.04388143867254257,0.026349922642111778,150.30030829264396
TM,hf100_lfx10,377,AR1/co-kriging,0.017531516030430794,0.027491841465234756,0.009960325434803963,56.81382840773761
TM,hf100_lfx10,377,FPCA-NARGP,0.017531516030430794,0.029157863929867744,0.01162634789943695,66.31684264644431
TM,hf100_lfx10,377,MF-DeepONet,0.017531516030430794,0.026507116142346222,0.008975600111915429,51.19694210321453
TM,hf100_lfx10,300,HF-only,0.02011040784418583,0.04364616796374321,0.02353576011955738,117.03273400475497
TM,hf100_lfx10,300,AR1/co-kriging,0.02011040784418583,0.027429677546024323,0.007319269701838493,36.39543145294582
TM,hf100_lfx10,300,FPCA-NARGP,0.02011040784418583,0.028929701074957848,0.008819293230772018,43.854372815824256
TM,hf100_lfx10,300,MF-DeepONet,0.02011040784418583,0.02943464976985872,0.00932424192567289,46.36525523458563
TM,hf100_lfx10,280,HF-only,0.018198441714048386,0.04418541491031647,0.02598697319626808,142.79779337484317
TM,hf100_lfx10,280,AR1/co-kriging,0.018198441714048386,0.027650250121951103,0.009451808407902718,51.937460121139615
TM,hf100_lfx10,280,FPCA-NARGP,0.018198441714048386,0.028704525902867317,0.010506084188818932,57.7306802082329
TM,hf100_lfx10,280,MF-DeepONet,0.018198441714048386,0.026202834117828724,0.008004392403780338,43.98394395274681
TM,hf100_lfx10,270,HF-only,0.022288566455245018,0.04407607764005661,0.021787511184811592,97.7519627767917
TM,hf100_lfx10,270,AR1/co-kriging,0.022288566455245018,0.02727767452597618,0.004989108070731163,22.384158625675585
TM,hf100_lfx10,270,FPCA-NARGP,0.022288566455245018,0.029376503080129623,0.007087936624884605,31.80077390404195
TM,hf100_lfx10,270,MF-DeepONet,0.022288566455245018,0.031625549190801086,0.009336982735556068,41.89135606502346
TM,hf100_lfx10,230,HF-only,0.01942167989909649,0.04371495544910431,0.02429327555000782,125.0832866993033
TM,hf100_lfx10,230,AR1/co-kriging,0.01942167989909649,0.027645835652947426,0.008224155753850937,42.34523376236641
TM,hf100_lfx10,230,FPCA-NARGP,0.01942167989909649,0.028848107904195786,0.009426428005099297,48.53559555132932
TM,hf100_lfx10,230,MF-DeepONet,0.01942167989909649,0.024509243915322835,0.005087564016226346,26.195283017011434
TM,hf500_lfx10,388,HF-only,0.012374340556561947,0.024828825145959854,0.012454484589397907,100.64766306107084
TM,hf500_lfx10,388,AR1/co-kriging,0.012374340556561947,0.019630329683423042,0.007255989126861095,58.63738026034318
TM,hf500_lfx10,388,FPCA-NARGP,0.012374340556561947,0.02336183749139309,0.010987496934831142,88.7925856299843
TM,hf500_lfx10,388,MF-DeepONet,0.012374340556561947,0.019593177674818132,0.007218837118256185,58.33714600999996
TM,hf500_lfx10,210,HF-only,0.013525587506592274,0.02469807304441929,0.011172485537827015,82.60258959088931
TM,hf500_lfx10,210,AR1/co-kriging,0.013525587506592274,0.019709253683686256,0.006183666177093983,45.71828154658797
TM,hf500_lfx10,210,FPCA-NARGP,0.013525587506592274,0.023456720635294914,0.00993113312870264,73.4247819095642
TM,hf500_lfx10,210,MF-DeepONet,0.013525587506592274,0.016005236581793265,0.0024796490752009917,18.333023049774575
TM,hf500_lfx10,344,HF-only,0.012812838889658451,0.025139331817626953,0.012326492927968502,96.20422947733707
TM,hf500_lfx10,344,AR1/co-kriging,0.012812838889658451,0.019811924546957016,0.006999085657298565,54.62556516610612
TM,hf500_lfx10,344,FPCA-NARGP,0.012812838889658451,0.022962572053074837,0.010149733163416386,79.21533432851074
TM,hf500_lfx10,344,MF-DeepONet,0.012812838889658451,0.017122536828597698,0.004309697938939247,33.63577717673253
TM,hf500_lfx10,333,HF-only,0.012805704958736897,0.02521694265305996,0.012411237694323063,96.91959743188755
TM,hf500_lfx10,333,AR1/co-kriging,0.012805704958736897,0.019461318850517273,0.0066556138917803764,51.973818803622194
TM,hf500_lfx10,333,FPCA-NARGP,0.012805704958736897,0.023367032408714294,0.010561327449977398,82.47361222211951
TM,hf500_lfx10,333,MF-DeepONet,0.012805704958736897,0.01698545865595969,0.004179753697222795,32.63977821362416
TM,hf500_lfx10,311,HF-only,0.012891664169728756,0.02485322579741478,0.011961561627686024,92.78524068113154
TM,hf500_lfx10,311,AR1/co-kriging,0.012891664169728756,0.019617266952991486,0.00672560278326273,52.17016744087461
TM,hf500_lfx10,311,FPCA-NARGP,0.012891664169728756,0.023805484175682068,0.010913820005953312,84.6579608517908
TM,hf500_lfx10,311,MF-DeepONet,0.012891664169728756,0.018631018302683655,0.005739354132954899,44.51988554302882
TM,hf500_lfx10,355,HF-only,0.013715454377233982,0.02517147734761238,0.011456022970378399,83.52638312438289
TM,hf500_lfx10,355,AR1/co-kriging,0.013715454377233982,0.01974908821284771,0.006033633835613728,43.991497982223905
TM,hf500_lfx10,355,FPCA-NARGP,0.013715454377233982,0.023410074412822723,0.009694620035588741,70.68391442926348
TM,hf500_lfx10,355,MF-DeepONet,0.013715454377233982,0.020109444005174545,0.006393989627940563,46.6188684098853
TM,hf500_lfx10,240,HF-only,0.013369527645409107,0.024829329922795296,0.011459802277386189,85.71583515384188
TM,hf500_lfx10,240,AR1/co-kriging,0.013369527645409107,0.019586533308029175,0.006217005662620068,46.50131124681052
TM,hf500_lfx10,240,FPCA-NARGP,0.013369527645409107,0.023021329194307327,0.00965180154889822,72.19253966846392
TM,hf500_lfx10,240,MF-DeepONet,0.013369527645409107,0.016310896058876888,0.0029413684134677806,22.00054101745174
TM,hf500_lfx10,220,HF-only,0.012732847593724728,0.025025608018040657,0.01229276042431593,96.5436861929794
TM,hf500_lfx10,220,AR1/co-kriging,0.012732847593724728,0.01962375082075596,0.006890903227031231,54.119105536355846
TM,hf500_lfx10,220,FPCA-NARGP,0.012732847593724728,0.02356525883078575,0.010832411237061024,85.07453778367443
TM,hf500_lfx10,220,MF-DeepONet,0.012732847593724728,0.01746652491844659,0.004733677324721863,37.176894562492166
TM,hf500_lfx10,322,HF-only,0.014952286146581173,0.02475666254758835,0.009804376401007175,65.57108595229056
TM,hf500_lfx10,322,AR1/co-kriging,0.014952286146581173,0.0198904387652874,0.004938152618706226,33.026070864991645
TM,hf500_lfx10,322,FPCA-NARGP,0.014952286146581173,0.02290254831314087,0.007950262166559696,53.17088028292929
TM,hf500_lfx10,322,MF-DeepONet,0.014952286146581173,0.017709372482036585,0.0027570863354554123,18.4392293487897
TM,hf500_lfx10,399,HF-only,0.014337567612528801,0.024983711540699005,0.010646143928170204,74.25348717356445
TM,hf500_lfx10,399,AR1/co-kriging,0.014337567612528801,0.019716540351510048,0.005378972738981247,37.516633813680244
TM,hf500_lfx10,399,FPCA-NARGP,0.014337567612528801,0.02333931438624859,0.009001746773719788,62.78433704370931
TM,hf500_lfx10,399,MF-DeepONet,0.014337567612528801,0.017121369015607475,0.0027838014030786735,19.416134440029175
TM,hf500_lfx10,200,HF-only,0.011801144108176231,0.024982260540127754,0.013181116431951523,111.69354692329534
TM,hf500_lfx10,200,AR1/co-kriging,0.011801144108176231,0.019940810278058052,0.00813966616988182,68.97353422065565
TM,hf500_lfx10,200,FPCA-NARGP,0.011801144108176231,0.023556794971227646,0.011755650863051414,99.61450140166242
TM,hf500_lfx10,200,MF-DeepONet,0.011801144108176231,0.018792914008167155,0.006991769899990924,59.24654284279767
TM,hf500_lfx10,366,HF-only,0.013083004392683506,0.02514255978167057,0.012059555388987064,92.17726316541794
TM,hf500_lfx10,366,AR1/co-kriging,0.013083004392683506,0.019342103973031044,0.006259099580347538,47.84145439749187
TM,hf500_lfx10,366,FPCA-NARGP,0.013083004392683506,0.023313524201512337,0.01023051980882883,78.19702189009514
TM,hf500_lfx10,366,MF-DeepONet,0.013083004392683506,0.017225019640142218,0.004142015247458712,31.659511249381517
TM,hf500_lfx10,250,HF-only,0.013996859081089497,0.025048887357115746,0.011052028276026249,78.96077407079227
TM,hf500_lfx10,250,AR1/co-kriging,0.013996859081089497,0.019432147964835167,0.00543528888374567,38.832204084193684
TM,hf500_lfx10,250,FPCA-NARGP,0.013996859081089497,0.02360519953072071,0.009608340449631214,68.64640412514115
