dataset,setting,method,seed,split,metric,value,source
AB,hf100_lfx10,Neural-GP MF (ours),311,val,nll_cal,-3.1354921773867286,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,HF-only,311,test,nll_raw,-2.7889877240648335,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,test,nll_raw,-2.789725728759491,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,Neural-GP MF (ours),311,test,nll_raw,-3.1572391192861673,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,HF-only,311,test,nll_cal,-2.7889877240648335,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,test,nll_cal,-2.789725728759491,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,Neural-GP MF (ours),311,test,nll_cal,-3.1572391192861673,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,HF-only,311,val,nlpd_raw,-2.631949410596878,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,val,nlpd_raw,-2.7233549424535695,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,Neural-GP MF (ours),311,val,nlpd_raw,-3.1354921773867286,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,HF-only,311,val,nlpd_cal,-2.631949410596878,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,val,nlpd_cal,-2.7233549424535695,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,Neural-GP MF (ours),311,val,nlpd_cal,-3.1354921773867286,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,HF-only,311,test,nlpd_raw,-2.7889877240648335,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,test,nlpd_raw,-2.789725728759491,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,Neural-GP MF (ours),311,test,nlpd_raw,-3.1572391192861673,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
